,S.N,candidate_name,party_name,EVM Votes,Postal Votes,secured_votes,% of Votes,state_name,constituency_name,constituency_number
7335,14,GURRAPU MACHANDER,A,1760,9,1769,0.14,Telangana,Zahirabad,5
7336,15,T.D.S. MANI,D,1628,27,1655,0.13,Telangana,Zahirabad,5
7337,16,MOHD SADDAM,I,1567,1,1568,0.13,Telangana,Zahirabad,5
7338,17,MALEPU MOHAN REDDY,P,1095,7,1102,0.09,Telangana,Zahirabad,5
7339,18,ASHOK TALARI,I,831,6,837,0.07,Telangana,Zahirabad,5
7340,19,ROMALA BABU DURGAIAH,I,601,2,603,0.05,Telangana,Zahirabad,5
7341,20,NOTA,N,2933,44,2977,0.24,Telangana,Zahirabad,5
7342,1,KRITI DEVI DEBBARMAN,B,768129,9318,777447,68.54,Tripura,Tripura East,2
7343,2,RAJENDRA REANG,C,287772,2856,290628,25.62,Tripura,Tripura East,2
7344,3,ARCHANA URANG,I,10814,108,10922,0.96,Tripura,Tripura East,2
7345,4,DARSHAN KUMAR REANG,I,9200,69,9269,0.82,Tripura,Tripura East,2
7346,5,SANTOJOY TRIPURA,I,6825,37,6862,0.6,Tripura,Tripura East,2
7347,6,SHIB CHANDRA DEBBARMA,I,6685,34,6719,0.59,Tripura,Tripura East,2
7348,7,SATRUGHNA JAMATIA,I,5939,28,5967,0.53,Tripura,Tripura East,2
7349,8,KRISHNA MOHAN JAMATIA,I,4166,51,4217,0.37,Tripura,Tripura East,2
7350,9,KALPA MOHAN TRIPURA,I,3958,53,4011,0.35,Tripura,Tripura East,2
7351,10,NOTA,N,18176,127,18303,1.61,Tripura,Tripura East,2
7352,1,BIPLAB KUMAR DEB,B,868484,12857,881341,72.85,Tripura,Tripura West,1
7353,2,ASISH KUMAR SAHA,I,265912,3851,269763,22.3,Tripura,Tripura West,1
7354,3,RAMENDRA REANG,I,8899,33,8932,0.74,Tripura,Tripura West,1
7355,4,ARUN KUMAR BHAUMIK,S,8617,167,8784,0.73,Tripura,Tripura West,1
7356,5,GOURI SANKAR NANDI,I,8074,40,8114,0.67,Tripura,Tripura West,1
