,S.N,candidate_name,party_name,EVM Votes,Postal Votes,secured_votes,% of Votes,state_name,constituency_name,constituency_number
2806,3,CHANDAN GOWDA. K,I,12310,84,12394,0.85,Karnataka,Mandya,20
2807,4,SHIVASHANKARA. S,B,6903,61,6964,0.48,Karnataka,Mandya,20
2808,5,RAMAIAH. D,I,3796,14,3810,0.26,Karnataka,Mandya,20
2809,6,RANJITHA. N,I,2897,12,2909,0.2,Karnataka,Mandya,20
2810,7,CHANDRASHEKARA. K.R (CHANDRU KEELARA),K,1465,11,1476,0.1,Karnataka,Mandya,20
2811,8,BUDAYYA. B.P,K,1358,12,1370,0.09,Karnataka,Mandya,20
2812,9,LOKESHA. S (AARYA LOKESH),U,1151,12,1163,0.08,Karnataka,Mandya,20
2813,10,BEERESH. C.T (SAINIKA BEERESH),I,919,12,931,0.06,Karnataka,Mandya,20
2814,11,N.BASAVARAJU,I,802,41,843,0.06,Karnataka,Mandya,20
2815,12,H.D. REVANNA,P,584,6,590,0.04,Karnataka,Mandya,20
2816,13,CHANNAMAYIGOWDA,I,496,1,497,0.03,Karnataka,Mandya,20
2817,14,S.ARVIND,I,440,2,442,0.03,Karnataka,Mandya,20
2818,15,NOTA,N,7706,30,7736,0.53,Karnataka,Mandya,20
2819,1,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,B,790391,5112,795503,53.59,Karnataka,Mysore,21
2820,2,M. LAKSHMANA,I,653739,2502,656241,44.21,Karnataka,Mysore,21
2821,3,RANGASWAMY. M,I,4301,5,4306,0.29,Karnataka,Mysore,21
2822,4,KADAMBA NAA AMBARISH,K,4069,11,4080,0.27,Karnataka,Mysore,21
2823,5,A. S. SATHISH,I,3736,10,3746,0.25,Karnataka,Mysore,21
2824,6,RAMAMURTHY. M,I,3601,4,3605,0.24,Karnataka,Mysore,21
2825,7,RAJU,I,1940,9,1949,0.13,Karnataka,Mysore,21
2826,8,PRAJAKEEYA LEELA SHIVAKUMAR,U,1724,30,1754,0.12,Karnataka,Mysore,21
2827,9,COMRADE SUNIL T. R,S,1538,22,1560,0.11,Karnataka,Mysore,21
2828,10,H. K. KRISHNA,K,1479,10,1489,0.1,Karnataka,Mysore,21
2829,11,HARISH GOWDA,S,967,9,976,0.07,Karnataka,Mysore,21
2830,12,P. S. YADURAPPA,I,874,4,878,0.06,Karnataka,Mysore,21
2831,13,AMBEDKAR. C. J,I,821,14,835,0.06,Karnataka,Mysore,21
2832,14,DARSHAN K PONNETI,I,761,3,764,0.05,Karnataka,Mysore,21
2833,15,M. S. PRAVEEN,K,735,5,740,0.05,Karnataka,Mysore,21
2834,16,CHRISTOPHER RAJ KUMAR,I,533,11,544,0.04,Karnataka,Mysore,21
2835,17,DR. H. M. NANJUNDASWAMY,S,519,4,523,0.04,Karnataka,Mysore,21
2836,18,A. G. RAMACHANDRA RAO,S,487,3,490,0.03,Karnataka,Mysore,21
2837,19,NOTA,N,4446,44,4490,0.3,Karnataka,Mysore,21
2838,1,G. KUMAR NAIK.,I,669413,1553,670966,51.63,Karnataka,Raichur,6
2839,2,RAJA AMARESHWARA NAIK.,B,588833,2352,591185,45.49,Karnataka,Raichur,6
2840,3,S. NARASANNA GOUDA NAYAKA,B,9275,14,9289,0.71,Karnataka,Raichur,6
2841,4,BASAVA PRABHU. MEDA,K,5173,8,5181,0.4,Karnataka,Raichur,6
2842,5,AMARESH,I,4459,6,4465,0.34,Karnataka,Raichur,6
2843,6,YALLAMMA DALAPATHI,I,3629,5,3634,0.28,Karnataka,Raichur,6
2844,7,MEDHAR SHAMRAO,B,2625,15,2640,0.2,Karnataka,Raichur,6
2845,8,RAMALINGAPPA,S,2404,5,2409,0.19,Karnataka,Raichur,6
2846,9,NOTA,N,9825,25,9850,0.76,Karnataka,Raichur,6
2847,1,B.Y.RAGHAVENDRA,B,775731,2990,778721,56.54,Karnataka,Shimoga,14
2848,2,GEETHA SHIVARAJKUMAR,I,533622,1384,535006,38.85,Karnataka,Shimoga,14
2849,3,K. S. ESHWARAPPA,I,29959,91,30050,2.18,Karnataka,Shimoga,14
2850,4,BANDI,I,7265,1,7266,0.53,Karnataka,Shimoga,14
2851,5,RAVIKUMARA N.,I,4551,1,4552,0.33,Karnataka,Shimoga,14
2852,6,POOJA N. ANNAIAH,I,3454,3,3457,0.25,Karnataka,Shimoga,14
2853,7,A.D. SHIVAPPA,B,2772,7,2779,0.2,Karnataka,Shimoga,14
2854,8,N. V. NAVEEN KUMAR,I,1992,1,1993,0.14,Karnataka,Shimoga,14
2855,9,ARUNA KANAHALLI,U,1475,3,1478,0.11,Karnataka,Shimoga,14
2856,10,E.H. NAYAK,I,953,1,954,0.07,Karnataka,Shimoga,14
2857,11,JOHN BENNY,I,863,4,867,0.06,Karnataka,Shimoga,14
2858,12,GANESH. B (BELLI),I,736,11,747,0.05,Karnataka,Shimoga,14
2859,13,D.S. ESHWARAPPA,I,687,8,695,0.05,Karnataka,Shimoga,14
2860,14,KUNAJE MANJUNATHA GOWDA,I,671,12,683,0.05,Karnataka,Shimoga,14
2861,15,S.K PRABHU,K,611,6,617,0.04,Karnataka,Shimoga,14
2862,16,SHIVARUDRAIAH SWAMY,I,599,-,599,0.04,Karnataka,Shimoga,14
2863,17,IMTIYAZ A. ATTAR,I,440,2,442,0.03,Karnataka,Shimoga,14
2864,18,MOHAMMED YUSUF KHAN,Y,403,1,404,0.03,Karnataka,Shimoga,14
2865,19,G. JAYADEVA,I,367,1,368,0.03,Karnataka,Shimoga,14
2866,20,CHANDRASHEKAR. H C,I,352,5,357,0.03,Karnataka,Shimoga,14
2867,21,P. SRIPATHI. BHAT,I,343,1,344,0.02,Karnataka,Shimoga,14
2868,22,SANDESH SHETTY. A,I,292,1,293,0.02,Karnataka,Shimoga,14
2869,23,H SURESH POOJARI,I,219,1,220,0.02,Karnataka,Shimoga,14
2870,24,NOTA,N,4311,21,4332,0.31,Karnataka,Shimoga,14
2871,1,V. SOMANNA,B,716709,4237,720946,55.31,Karnataka,Tumkur,19
2872,2,S.P. MUDDAHANUMEGOWDA,I,543064,2288,545352,41.84,Karnataka,Tumkur,19
2873,3,J.K. SAMI,I,6761,14,6775,0.52,Karnataka,Tumkur,19
2874,4,RAJASIMHA J. N.,B,5521,33,5554,0.43,Karnataka,Tumkur,19
2875,5,S.N. SWAMY,S,4582,9,4591,0.35,Karnataka,Tumkur,19
2876,6,RANGANATHA. R.S,I,3129,3,3132,0.24,Karnataka,Tumkur,19
2877,7,MALLIKARJUNAIAH,I,1872,8,1880,0.14,Karnataka,Tumkur,19
2878,8,SIDDARAMEGOWDA T. B,I,1644,2,1646,0.13,Karnataka,Tumkur,19
2879,9,PRADEEP KUMAR DODDAMUDDEGOWDA,K,1606,12,1618,0.12,Karnataka,Tumkur,19
2880,10,H.L. MOHAN KUMAR,I,890,3,893,0.07,Karnataka,Tumkur,19
2881,11,PRAKASH. R.A. JAIN,I,859,4,863,0.07,Karnataka,Tumkur,19
2882,12,NEELAKANTESHA. H S,I,710,9,719,0.06,Karnataka,Tumkur,19
2883,13,R. PUSHPA,I,622,7,629,0.05,Karnataka,Tumkur,19
2884,14,B. DEVARAJ,I,491,8,499,0.04,Karnataka,Tumkur,19
2885,15,R. NARAYANAPPA,I,483,24,507,0.04,Karnataka,Tumkur,19
2886,16,DR. H.B.M. HIREMATH,K,477,-,477,0.04,Karnataka,Tumkur,19
2887,17,KAPANIGOWDA.,I,451,20,471,0.04,Karnataka,Tumkur,19
2888,18,BASAVARAJU. H.R,N,433,6,439,0.03,Karnataka,Tumkur,19
2889,19,NOTA,N,6426,34,6460,0.5,Karnataka,Tumkur,19
2890,1,KOTA SRINIVAS POOJARY,B,728219,4015,732234,59.56,Karnataka,Udupi Chikmagalur,15
2891,2,K. JAYAPRAKASH HEGDE,I,470769,2290,473059,38.48,Karnataka,Udupi Chikmagalur,15
2892,3,K.T. RADHAKRISHNA,B,5378,39,5417,0.44,Karnataka,Udupi Chikmagalur,15
2893,4,SUDHEER KANCHAN MARAKALA,I,2281,5,2286,0.19,Karnataka,Udupi Chikmagalur,15
2894,5,SACHIN B.K,U,1299,34,1333,0.11,Karnataka,Udupi Chikmagalur,15
2895,6,M. K. DAYANANDA,P,1049,20,1069,0.09,Karnataka,Udupi Chikmagalur,15
2896,7,VIJAY KUMAR M. G,I,943,13,956,0.08,Karnataka,Udupi Chikmagalur,15
2897,8,SUPREETH KUMAR POOJARY KATEEL,J,670,20,690,0.06,Karnataka,Udupi Chikmagalur,15
2898,9,SHABAREESH,K,560,5,565,0.05,Karnataka,Udupi Chikmagalur,15
2899,10,L. RANGANATH GOWDA,K,536,4,540,0.04,Karnataka,Udupi Chikmagalur,15
2900,11,NOTA,N,11235,34,11269,0.92,Karnataka,Udupi Chikmagalur,15
2901,1,VISHWESHWAR HEGDE KAGERI,B,777887,4608,782495,61.97,Karnataka,Uttara Kannada,12
2902,2,DR. ANJALI NIMBALKAR,I,443296,1771,445067,35.25,Karnataka,Uttara Kannada,12
2903,3,RAJSHEKHAR. SHANKAR. HINDALAGI.,I,5384,13,5397,0.43,Karnataka,Uttara Kannada,12
2904,4,GANAPATI HEGDE,S,4427,45,4472,0.35,Karnataka,Uttara Kannada,12
2905,5,NIRANJAN UDAYSINH SIRDESAI,I,4116,53,4169,0.33,Karnataka,Uttara Kannada,12
2906,6,NAGARAJ. ANANT. SHIRALI.,I,2860,22,2882,0.23,Karnataka,Uttara Kannada,12
2907,7,CHIDANAND HANUMANTHAPPA HARIJAN,I,1707,14,1721,0.14,Karnataka,Uttara Kannada,12
2908,8,PRAJAAKEEYA SUNIL,U,1523,43,1566,0.12,Karnataka,Uttara Kannada,12
2909,9,VINAYAK NAIK,K,1230,33,1263,0.1,Karnataka,Uttara Kannada,12
2910,10,K. P. PATIL,I,901,55,956,0.08,Karnataka,Uttara Kannada,12
2911,11,KRISHNA BALEGAR,I,897,23,920,0.07,Karnataka,Uttara Kannada,12
2912,12,ARAVIND GOWDA,I,872,32,904,0.07,Karnataka,Uttara Kannada,12
2913,13,AVINASH. NARAYAN. PATIL.,I,761,12,773,0.06,Karnataka,Uttara Kannada,12
2914,14,NOTA,N,10151,25,10176,0.81,Karnataka,Uttara Kannada,12
2915,1,K. C VENUGOPAL,I,398246,6314,404560,38.21,Kerala,Alappuzha,15
2916,2,A. M ARIFF,C,335596,5451,341047,32.21,Kerala,Alappuzha,15
2917,3,SOBHA SURENDRAN,B,295841,3807,299648,28.3,Kerala,Alappuzha,15
2918,4,MURALEEDHARAN KONCHERILLAM,B,1578,48,1626,0.15,Kerala,Alappuzha,15
2919,5,ARJUNAN,S,1301,18,1319,0.12,Kerala,Alappuzha,15
2920,6,VAYALAR RAJEEVAN,B,674,1,675,0.06,Kerala,Alappuzha,15
2921,7,ADV.K.M SHAJAHAN,I,627,55,682,0.06,Kerala,Alappuzha,15
2922,8,SHAJAHAN V.A. S/O ABDUL AZEES,I,553,23,576,0.05,Kerala,Alappuzha,15
2923,9,SATHEESH SHENOI,I,473,9,482,0.05,Kerala,Alappuzha,15
2924,10,JAYAKRISHNAN P,I,329,56,385,0.04,Kerala,Alappuzha,15
2925,11,JYOTHI ABRAHAM,I,328,10,338,0.03,Kerala,Alappuzha,15
2926,12,NOTA,N,7252,113,7365,0.7,Kerala,Alappuzha,15
2927,1,K.RADHAKRISHNAN,C,398818,4629,403447,40.66,Kerala,Alathur,9
2928,2,RAMYA HARIDAS,I,379231,4105,383336,38.63,Kerala,Alathur,9
2929,3,DR T N SARASU,B,186441,1789,188230,18.97,Kerala,Alathur,9
2930,4,HARI ARUMBIL,B,2835,36,2871,0.29,Kerala,Alathur,9
2931,5,KRISHNANKUTTY KUNISSERY,I,2323,28,2351,0.24,Kerala,Alathur,9
2932,6,NOTA,N,11918,115,12033,1.21,Kerala,Alathur,9
2933,1,ADV ADOOR PRAKASH,I,323273,4778,328051,33.29,Kerala,Attingal,19
2934,2,V JOY,C,321715,5652,327367,33.22,Kerala,Attingal,19
2935,3,V MURALEEDHARAN,B,307710,4069,311779,31.64,Kerala,Attingal,19
2936,4,SURABHI S,B,4485,39,4524,0.46,Kerala,Attingal,19
2937,5,PRAKASH P L,I,1762,52,1814,0.18,Kerala,Attingal,19
2938,6,SANTHOSH K,I,1146,58,1204,0.12,Kerala,Attingal,19
2939,7,PRAKASH S,I,745,66,811,0.08,Kerala,Attingal,19
2940,8,NOTA,N,9681,110,9791,0.99,Kerala,Attingal,19
2941,1,BENNY BEHANAN,I,390216,3955,394171,41.44,Kerala,Chalakudy,11
2942,2,PROF C RAVEENDRANATH,C,327382,3035,330417,34.73,Kerala,Chalakudy,11
2943,3,K A UNNIKRISHNAN,B,105706,694,106400,11.18,Kerala,Chalakudy,11
2944,4,ADV CHARLY PAUL,T,105020,622,105642,11.11,Kerala,Chalakudy,11
2945,5,ROSILIN CHACKO,B,2377,33,2410,0.25,Kerala,Chalakudy,11
2946,6,BOSCO KALAMASSERY,I,1071,16,1087,0.11,Kerala,Chalakudy,11
2947,7,SUBRAN K R,I,789,10,799,0.08,Kerala,Chalakudy,11
2948,8,DR M PRADEEPAN,S,688,6,694,0.07,Kerala,Chalakudy,11
2949,9,ARUN EDATHADAN,I,662,24,686,0.07,Kerala,Chalakudy,11
2950,10,T S CHANDRAN,I,481,50,531,0.06,Kerala,Chalakudy,11
2951,11,JOHNSON K C,I,379,8,387,0.04,Kerala,Chalakudy,11
2952,12,NOTA,N,8021,42,8063,0.85,Kerala,Chalakudy,11
2953,1,HIBI EDEN,I,478989,3328,482317,52.97,Kerala,Ernakulam,12
2954,2,K. J. SHINE TEACHER,C,230059,1873,231932,25.47,Kerala,Ernakulam,12
2955,3,DR. K. S. RADHAKRISHNAN,B,143573,927,144500,15.87,Kerala,Ernakulam,12
2956,4,ADV. ANTONY JUDY,T,39658,150,39808,4.37,Kerala,Ernakulam,12
2957,5,VAYALAR JAYAKUMAR,B,1480,18,1498,0.16,Kerala,Ernakulam,12
2958,6,SANDEEP RAJENDRAPRASAD,I,734,18,752,0.08,Kerala,Ernakulam,12
2959,7,CYRILL SKARIA,I,663,27,690,0.08,Kerala,Ernakulam,12
2960,8,PRATHAPAN,B,414,5,419,0.05,Kerala,Ernakulam,12
2961,9,BRAHMAKUMAR,S,409,3,412,0.05,Kerala,Ernakulam,12
2962,10,ROHIT KRISHNAN,I,408,8,416,0.05,Kerala,Ernakulam,12
2963,11,NOTA,N,7715,43,7758,0.85,Kerala,Ernakulam,12
2964,1,ADV. DEAN KURIAKOSE,I,427129,5243,432372,51.43,Kerala,Idukki,13
2965,2,ADV. JOICE GEORGE,C,295975,2670,298645,35.53,Kerala,Idukki,13
2966,3,ADV. SANGEETHA VISWANATHAN,B,90663,660,91323,10.86,Kerala,Idukki,13
2967,4,ADV. RUSSEL JOY,B,4397,40,4437,0.53,Kerala,Idukki,13
2968,5,JOMON JOHN,I,1764,55,1819,0.22,Kerala,Idukki,13
2969,6,SAJI @ SHAJI,V,1493,15,1508,0.18,Kerala,Idukki,13
2970,7,P.K. SAJEEVAN,I,1025,9,1034,0.12,Kerala,Idukki,13
2971,8,NOTA,N,9468,51,9519,1.13,Kerala,Idukki,13
2972,1,K. SUDHAKARAN,I,512266,6258,518524,48.74,Kerala,Kannur,2
2973,2,M.V. JAYARAJAN,C,402614,6928,409542,38.5,Kerala,Kannur,2
2974,3,C. RAGHUNATH,B,118352,1524,119876,11.27,Kerala,Kannur,2
2975,4,RAMACHANDRAN BAVILEERI,B,2606,43,2649,0.25,Kerala,Kannur,2
2976,5,K. SUDHAKARAN S/O. KRISHNAN,I,990,19,1009,0.09,Kerala,Kannur,2
2977,6,SUDHAKARAN. K S/O. P GOPALAN,I,893,3,896,0.08,Kerala,Kannur,2
2978,7,JOY JOHN PATTAR MADATHIL,I,616,2,618,0.06,Kerala,Kannur,2
2979,8,JAYARAJ,I,478,10,488,0.05,Kerala,Kannur,2
2980,9,JAYARAJAN S/O. VELAYUDHAN,I,421,4,425,0.04,Kerala,Kannur,2
2981,10,VADI HAREENDRAN,I,289,54,343,0.03,Kerala,Kannur,2
2982,11,C. BALAKRISHNAN YADAV,I,279,25,304,0.03,Kerala,Kannur,2
2983,12,NARAYANA KUMAR,I,263,45,308,0.03,Kerala,Kannur,2
2984,13,NOTA,N,8718,155,8873,0.83,Kerala,Kannur,2
2985,1,RAJMOHAN UNNITHAN,I,487637,3022,490659,44.1,Kerala,Kasaragod,1
2986,2,M.V BALAKRISHNAN MASTER,C,385969,4041,390010,35.06,Kerala,Kasaragod,1
2987,3,M.L ASHWINI,B,217996,1562,219558,19.73,Kerala,Kasaragod,1
2988,4,SUKUMARI M,B,1599,13,1612,0.14,Kerala,Kasaragod,1
2989,5,RAJESWARI K.R,I,886,11,897,0.08,Kerala,Kasaragod,1
2990,6,MANOHARAN K,I,777,27,804,0.07,Kerala,Kasaragod,1
2991,7,ANEESH PAYYANNUR,I,744,15,759,0.07,Kerala,Kasaragod,1
2992,8,BALAKRISHNAN N,I,594,34,628,0.06,Kerala,Kasaragod,1
2993,9,N KESHAVA NAYAK,I,480,27,507,0.05,Kerala,Kasaragod,1
2994,10,NOTA,N,7037,75,7112,0.64,Kerala,Kasaragod,1
2995,1,N K PREMACHANDRAN,R,437516,6112,443628,48.45,Kerala,Kollam,18
2996,2,M MUKESH,C,288861,4465,293326,32.03,Kerala,Kollam,18
2997,3,KRISHNAKUMAR G,B,160956,2254,163210,17.82,Kerala,Kollam,18
2998,4,VIPINLAL VIDHYADHARAN,B,2163,31,2194,0.24,Kerala,Kollam,18
2999,5,PREMACHANDRAN NAIR,I,1713,21,1734,0.19,Kerala,Kollam,18
3000,6,GOKULAM SURESH KUMAR,I,1369,5,1374,0.15,Kerala,Kollam,18
3001,7,PRADEEP KOTTARAKKARA,B,793,42,835,0.09,Kerala,Kollam,18
3002,8,TWINKLE PRABHAKARAN,S,689,19,708,0.08,Kerala,Kollam,18
3003,9,JOSE SARANATH,A,553,6,559,0.06,Kerala,Kollam,18
3004,10,BRO NOUSHAD SHERIFF J,I,545,34,579,0.06,Kerala,Kollam,18
3005,11,P KRISHNAMMAL,M,537,12,549,0.06,Kerala,Kollam,18
3006,12,N JAYARAJAN,I,407,42,449,0.05,Kerala,Kollam,18
3007,13,NOTA,N,6437,109,6546,0.71,Kerala,Kollam,18
3008,1,ADV K FRANCIS GEORGE,K,358369,6262,364631,43.6,Kerala,Kottayam,14
3009,2,THOMAS CHAZHIKADAN,K,272418,4947,277365,33.17,Kerala,Kottayam,14
3010,3,THUSHAR VELLAPPALLY,B,163227,1819,165046,19.74,Kerala,Kottayam,14
3011,4,VIJU CHERIAN,B,7075,148,7223,0.86,Kerala,Kottayam,14
3012,5,P O PETER,S,1581,56,1637,0.2,Kerala,Kottayam,14
3013,6,V P KOCHUMON,S,1551,44,1595,0.19,Kerala,Kottayam,14
3014,7,JOSSIN K JOSEPH,I,1397,92,1489,0.18,Kerala,Kottayam,14
3015,8,CHANDRABOSE P,I,1071,16,1087,0.13,Kerala,Kottayam,14
3016,9,M M SCARIA,I,913,14,927,0.11,Kerala,Kottayam,14
3017,10,JOEMON JOSEPH SRAMPICKAL A P J JUMAN V S,I,875,18,893,0.11,Kerala,Kottayam,14
3018,11,ROBY MATTAPPALLY,I,697,42,739,0.09,Kerala,Kottayam,14
3019,12,SANTHOSH PULICKAL,I,686,24,710,0.08,Kerala,Kottayam,14
3020,13,SUNIL ALANCHERIL,I,499,28,527,0.06,Kerala,Kottayam,14
3021,14,MAN HOUSE MANMADHAN,I,403,18,421,0.05,Kerala,Kottayam,14
3022,15,NOTA,N,11804,129,11933,1.43,Kerala,Kottayam,14
3023,1,M. K. RAGHAVAN,I,515608,4813,520421,47.74,Kerala,Kozhikode,5
3024,2,ELAMARAM KAREEM,C,369884,4361,374245,34.33,Kerala,Kozhikode,5
3025,3,M. T. RAMESH,B,178692,1974,180666,16.57,Kerala,Kozhikode,5
3026,4,ARAMUKHAN,B,1684,31,1715,0.16,Kerala,Kozhikode,5
3027,5,ARAVINDAKSHAN NAIR M. K.,B,1290,15,1305,0.12,Kerala,Kozhikode,5
3028,6,RAGHAVAN S/O NARAYANAN NAIR,I,1057,39,1096,0.1,Kerala,Kozhikode,5
3029,7,T. RAGHAVAN S/O VELLANKUTTY,I,1009,9,1018,0.09,Kerala,Kozhikode,5
3030,8,N. RAGHAVAN S/O DAMU,I,753,29,782,0.07,Kerala,Kozhikode,5
3031,9,SUBHA,I,705,7,712,0.07,Kerala,Kozhikode,5
3032,10,DR. M. JYOTHIRAJ,S,641,12,653,0.06,Kerala,Kozhikode,5
3033,11,ABDUL KAREEM S/O MAHAMMOOD,I,536,5,541,0.05,Kerala,Kozhikode,5
3034,12,ABDUL KAREEM S/O AYAMMATH KUTTY,I,285,2,287,0.03,Kerala,Kozhikode,5
3035,13,ABDUL KAREEM K. S/O ASSAIN,I,257,36,293,0.03,Kerala,Kozhikode,5
3036,14,NOTA,N,6236,80,6316,0.58,Kerala,Kozhikode,5
3037,1,E.T. MOHAMMED BASHEER,I,640269,3737,644006,59.35,Kerala,Malappuram,6
3038,2,V. VASEEF,C,341510,2378,343888,31.69,Kerala,Malappuram,6
3039,3,DR. ABDUL SALAM,B,84529,832,85361,7.87,Kerala,Malappuram,6
3040,4,T. KRISHNAN,B,1392,25,1417,0.13,Kerala,Malappuram,6
3041,5,P.C. NARAYANAN,B,1304,5,1309,0.12,Kerala,Malappuram,6
3042,6,NASEEF ALI MULLAPPALLI,I,1154,14,1168,0.11,Kerala,Malappuram,6
3043,7,ABDULSALAM S/O MUHAMMED HAJI,I,771,12,783,0.07,Kerala,Malappuram,6
3044,8,THRISSUR NAZEER,I,459,25,484,0.04,Kerala,Malappuram,6
3045,9,NOTA,N,6650,116,6766,0.62,Kerala,Malappuram,6
3046,1,KODIKUNNIL SURESH,I,362209,7307,369516,41.29,Kerala,Mavelikkara,16
3047,2,ADV ARUN KUMAR C A,C,352708,5940,358648,40.07,Kerala,Mavelikkara,16
3048,3,BAIJU KALASALA,B,140830,2154,142984,15.98,Kerala,Mavelikkara,16
3049,4,C MONICHEN,I,4893,81,4974,0.56,Kerala,Mavelikkara,16
3050,5,SANTHOSH PALATHUMPADAN,B,4183,123,4306,0.48,Kerala,Mavelikkara,16
3051,6,SURESH NOORANAD,A,1441,64,1505,0.17,Kerala,Mavelikkara,16
3052,7,K BIMALJI,S,1336,34,1370,0.15,Kerala,Mavelikkara,16
3053,8,MANTHARA VELAYUDHAN,I,910,19,929,0.1,Kerala,Mavelikkara,16
3054,9,KOZHUVASSERIL SURESH,I,836,20,856,0.1,Kerala,Mavelikkara,16
3055,10,NOTA,N,9640,243,9883,1.1,Kerala,Mavelikkara,16
3056,1,V K SREEKANDAN,I,418072,3097,421169,40.66,Kerala,Palakkad,8
3057,2,A VIJAYARAGHAVAN,C,342798,3088,345886,33.39,Kerala,Palakkad,8
3058,3,C KRISHNAKUMAR,B,249568,2210,251778,24.31,Kerala,Palakkad,8
3059,4,K T PADMINI,B,2102,30,2132,0.21,Kerala,Palakkad,8
3060,5,ANNA KURIAKOSE,I,1416,17,1433,0.14,Kerala,Palakkad,8
3061,6,N S K PURAM SASIKUMAR,I,1151,26,1177,0.11,Kerala,Palakkad,8
3062,7,RAJESH K SON OF VELANKUTTY,I,1033,23,1056,0.1,Kerala,Palakkad,8
3063,8,RAJESH M SON OF MANI C,I,947,6,953,0.09,Kerala,Palakkad,8
3064,9,SIDHEEK IRUPPASSERY,I,913,26,939,0.09,Kerala,Palakkad,8
3065,10,C RAJAMANICKAM,I,516,4,520,0.05,Kerala,Palakkad,8
3066,11,NOTA,N,8724,69,8793,0.85,Kerala,Palakkad,8
3067,1,ANTO ANTONY,I,360957,6666,367623,39.98,Kerala,Pathanamthitta,17
3068,2,DR.T.M.THOMAS ISSAC,C,297888,3616,301504,32.79,Kerala,Pathanamthitta,17
3069,3,ANIL K.ANTONY,B,231172,3234,234406,25.49,Kerala,Pathanamthitta,17
3070,4,ADV.P.K.GEETHAKRISHNAN,B,3918,54,3972,0.43,Kerala,Pathanamthitta,17
3071,5,JOY P.MATHEW,P,1173,8,1181,0.13,Kerala,Pathanamthitta,17
3072,6,K.C.THOMAS,I,1080,21,1101,0.12,Kerala,Pathanamthitta,17
3073,7,ADV.HARIKUMAR M.K.,A,735,27,762,0.08,Kerala,Pathanamthitta,17
3074,8,ANOOP V.,I,557,52,609,0.07,Kerala,Pathanamthitta,17
3075,9,NOTA,N,8268,143,8411,0.91,Kerala,Pathanamthitta,17
3076,1,DR. M.P ABDUSSAMAD SAMADANI,I,559570,2946,562516,54.81,Kerala,Ponnani,7
3077,2,K.S HAMZA,C,324562,2194,326756,31.84,Kerala,Ponnani,7
3078,3,ADV. NIVEDIDA,B,123733,1065,124798,12.16,Kerala,Ponnani,7
3079,4,ABDUSSAMED MALAYAMPALLI,I,1634,19,1653,0.16,Kerala,Ponnani,7
3080,5,VINOD,B,1449,28,1477,0.14,Kerala,Ponnani,7
3081,6,HAMSA S/O MOIDUTTY,I,952,26,978,0.1,Kerala,Ponnani,7
3082,7,BINDHU W/O DEVARAJAN,I,826,21,847,0.08,Kerala,Ponnani,7
3083,8,HAMZA KADAVANDI,I,707,3,710,0.07,Kerala,Ponnani,7
3084,9,NOTA,N,6499,62,6561,0.64,Kerala,Ponnani,7
3085,1,SHASHI THAROOR,I,353679,4476,358155,37.19,Kerala,Thiruvananthapuram,20
3086,2,RAJEEV CHANDRASEKHAR,B,337920,4158,342078,35.52,Kerala,Thiruvananthapuram,20
3087,3,PANNIAN RAVINDRAN,C,244433,3215,247648,25.72,Kerala,Thiruvananthapuram,20
3088,4,ADV RAJENDRAN,B,2315,37,2352,0.24,Kerala,Thiruvananthapuram,20
3089,5,ADV SHINE LAL M P,I,1446,37,1483,0.15,Kerala,Thiruvananthapuram,20
